Egner Halvor Granerud, 400 
Markus Eisenbichler, 333 
Robert Johansson, 220 
Yukiya Sato, 164 
Dawid Kubacki, 144 
Karl Geiger, 141 
Daniel Huber, 140 
Piotr Żyła, 133 
Pius Paschke, 127 
Anze Lanisek, 109 

